name,media_type,genre,plot_score,characters_score,production_score,dialog_score,rank
Halt and Catch Fire,tv,drama,8,7,7,8,1
Community,tv,comedy,8,10,5,9,2
Westworld,tv,drama,9,7,10,8,3
House,tv,drama,9,9,7,7,4
Black Mirror,tv,drama,10,1,10,5,5
Sherlock,tv,drama,9,5,8,8,6
The Bear,tv,drama,7,8,8,9,7
The Last of Us,tv,thriller,8,8,9,7,8
I Think You Should Leave,tv,comedy,1,2,5,8,9
How I Met Your Mother,tv,sitcom,5,9,3,5,10
Silo,tv,drama,9,6,8,6,11
Rick and Morty,tv,comedy,9,4,4,9,12
Severance,tv,drama,8,7,8,7,13
Normal People,tv,drama,5,7,7,8,14
Lessons in Chemistry,tv,drama,7,7,6,7,15
Portlandia,tv,comedy,3,2,2,8,16
The Queen's Gambit,tv,drama,6,7,9,8,17
Silicon Valley,tv,comedy,7,8,5,8,18
Wild Wild Country,tv,documentary,10,7,7,4,19
