name,media_type,genre,plot_score,characters_score,production_score,dialog_score,rank
Into the Wild,movie,historical fiction,7,8,5,7,1
Jobs,movie,historical fiction,7,7,6,7,2
The Social Network,movie,historical fiction,6,7,8,8,3
The Theory of Everything,movie,historical fiction,8,9,7,8,4
21,movie,historical fiction,7,6,6,7,5
The Imitation Game,movie,historical fiction,7,6,8,7,6
October Sky,movie,historical fiction,6,7,4,6,7
Good Will Hunting,movie,drama,6,10,6,10,8
Gladiator,movie,action,8,10,9,7,9
A Beautiful Mind,movie,historical fiction,8,7,5,5,10
The Prestige,movie,drama,10,5,8,6,11
Hidden Figures,movie,historical fiction,9,8,7,7,12
Dead Poet's Society,movie,drama,7,10,5,7,13
Anna Karenina,movie,drama,6,9,10,6,14
Interstellar,movie,scifi,9,7,7,6,15
Silence,movie,drama,9,7,9,7,16
The Notebook,movie,romance,6,8,6,5,17
Without Limits,movie,historical fiction,7,7,5,6,18
Forrest Gump,movie,drama,6,9,5,7,19
The Pursuit of Happyness,movie,drama,8,9,5,8,20
Like Crazy,movie,romance,4,8,6,6,21
Minimalism,movie,documentary,7,4,7,6,22
